Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DUNYH,35.6,❌,❌,❌,✅,2.4,❌,❌,—
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
FORMT,31.3,❌,❌,❌,❌,14.4,❌,❌,—
LYDHO,36.2,❌,❌,❌,❌,16.9,❌,❌,—
USAK,36.1,❌,❌,❌,❌,18.0,❌,❌,—
BTCIM,36.0,❌,❌,❌,❌,18.2,❌,❌,—
BSOKE,39.2,❌,❌,❌,✅,18.3,❌,❌,—
LYDYE,38.1,❌,❌,❌,❌,19.5,❌,❌,—
OTTO,32.3,❌,❌,❌,❌,19.6,❌,❌,—
MERKO,28.9,❌,❌,❌,❌,19.7,❌,✅,—
A1CAP,36.4,❌,❌,❌,❌,21.0,❌,❌,—
MEDTR,34.8,❌,❌,❌,❌,21.4,❌,❌,—
EGEPO,41.9,❌,❌,❌,❌,21.5,❌,❌,—
VRGYO,31.1,❌,❌,❌,❌,21.5,❌,❌,—
DARDL,34.0,❌,❌,❌,❌,21.9,❌,❌,—
IHYAY,36.1,❌,❌,❌,❌,22.0,❌,❌,—
RTALB,39.2,❌,❌,❌,❌,22.1,❌,❌,—
IMASM,36.3,❌,❌,❌,❌,22.1,❌,❌,—
SEKFK,33.8,❌,❌,❌,✅,22.2,✅,❌,—
RAYSG,35.6,❌,❌,❌,❌,22.2,❌,❌,—
VAKFN,41.2,❌,❌,❌,❌,22.5,❌,❌,—
MEGAP,36.8,❌,❌,❌,❌,22.5,❌,❌,—
YBTAS,35.7,❌,❌,❌,❌,22.7,❌,❌,—
PAMEL,35.9,❌,❌,❌,❌,22.9,❌,❌,—
SODSN,36.1,❌,❌,❌,❌,23.0,❌,❌,—
SAFKR,38.5,❌,❌,❌,❌,23.2,❌,❌,—
AGROT,30.0,❌,❌,❌,❌,23.3,❌,❌,—
EKIZ,39.9,❌,❌,❌,❌,23.3,❌,❌,—
AKGRT,42.4,❌,❌,❌,❌,23.3,❌,❌,—
YONGA,35.2,❌,❌,❌,❌,23.5,❌,❌,—
YYAPI,38.1,❌,❌,❌,❌,23.5,❌,❌,—
ONCSM,37.9,❌,❌,❌,❌,23.6,❌,❌,—
AKYHO,36.4,❌,❌,❌,❌,23.6,❌,❌,—
