Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DUNYH,37.4,❌,❌,❌,✅,2.6,❌,❌,—
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
FORMT,31.8,❌,❌,❌,❌,15.2,❌,❌,—
LYDHO,37.1,❌,❌,❌,❌,17.7,❌,❌,—
BSOKE,39.7,❌,❌,❌,✅,18.9,❌,❌,—
BTCIM,36.7,❌,❌,❌,❌,18.9,❌,❌,—
USAK,36.5,❌,❌,❌,❌,19.2,❌,❌,—
OTTO,32.3,❌,❌,❌,❌,19.6,❌,❌,—
MERKO,28.9,❌,❌,❌,❌,19.8,❌,✅,—
LYDYE,39.0,❌,❌,❌,❌,20.6,❌,❌,—
KRTEK,31.0,✅,❌,✅,❌,21.1,✅,✅,—
EGEPO,42.1,❌,❌,❌,❌,21.7,❌,❌,—
VRGYO,31.3,❌,❌,❌,❌,22.1,❌,❌,—
A1CAP,37.4,❌,❌,❌,❌,22.2,❌,❌,—
MEDTR,35.3,❌,❌,❌,❌,22.4,❌,❌,—
SEKFK,33.9,❌,❌,❌,✅,22.7,✅,❌,—
DARDL,34.3,❌,❌,❌,❌,22.9,❌,❌,—
MEGAP,36.9,❌,❌,❌,❌,22.9,❌,❌,—
IMASM,36.9,❌,❌,❌,❌,23.1,❌,❌,—
RTALB,39.9,❌,❌,❌,❌,23.2,❌,❌,—
SODSN,36.3,❌,❌,❌,❌,23.4,❌,❌,—
RAYSG,36.0,❌,❌,❌,❌,23.4,❌,❌,—
YBTAS,35.8,❌,❌,❌,❌,23.4,❌,❌,—
EKIZ,40.0,❌,❌,❌,❌,23.5,❌,❌,—
VAKFN,42.0,❌,❌,❌,❌,23.7,❌,❌,—
YONGA,35.3,❌,❌,❌,❌,23.7,❌,❌,—
PAMEL,36.3,❌,❌,❌,❌,23.7,❌,❌,—
SAFKR,38.9,❌,❌,❌,❌,23.7,❌,❌,—
IHYAY,36.4,❌,❌,❌,❌,23.8,✅,❌,—
ONCSM,38.1,❌,❌,❌,❌,23.8,❌,❌,—
SKYLP,39.4,❌,❌,❌,✅,24.4,❌,❌,—
YYAPI,38.4,❌,❌,❌,❌,24.4,❌,❌,—
IZINV,36.2,❌,❌,❌,❌,24.4,❌,❌,—
AGROT,30.4,❌,❌,❌,❌,24.5,❌,❌,—
YESIL,35.5,❌,❌,❌,❌,24.7,❌,❌,—
TEZOL,37.9,❌,❌,❌,❌,24.7,❌,❌,—
KAPLM,41.7,❌,❌,❌,❌,24.7,❌,❌,—
AKYHO,36.8,❌,❌,❌,❌,24.7,❌,❌,—
AKGRT,43.3,❌,❌,❌,❌,25.2,✅,❌,—
PKENT,32.7,❌,❌,❌,❌,25.3,❌,❌,—
TMSN,35.4,❌,❌,❌,❌,25.4,❌,❌,—
NATEN,34.1,❌,❌,❌,❌,25.4,❌,❌,—
QNBTR,43.7,❌,❌,❌,❌,25.5,❌,❌,—
SILVR,37.3,❌,❌,❌,❌,25.7,❌,❌,—
VERTU,41.3,❌,❌,❌,❌,25.8,❌,❌,—
HDFGS,41.1,❌,❌,❌,❌,25.8,❌,❌,—
ARZUM,34.3,❌,❌,❌,❌,25.9,❌,❌,—
VKING,37.8,❌,❌,❌,❌,26.0,❌,❌,—
BYDNR,39.3,❌,❌,❌,❌,26.0,❌,❌,—
CMENT,38.0,❌,❌,❌,✅,26.1,❌,❌,—
KZBGY,37.9,❌,❌,❌,❌,26.3,✅,❌,—
LUKSK,40.2,❌,❌,❌,✅,26.3,❌,❌,—
SOKE,36.7,❌,❌,❌,❌,26.4,❌,❌,—
EMKEL,39.8,❌,❌,❌,❌,26.4,❌,❌,—
ANGEN,33.6,❌,❌,❌,❌,26.4,❌,❌,—
KONKA,36.2,❌,❌,❌,❌,26.5,❌,❌,—
GENTS,41.7,❌,❌,❌,❌,26.5,❌,❌,—
BAYRK,40.7,❌,❌,❌,❌,26.6,❌,❌,—
UFUK,42.3,❌,❌,❌,❌,26.6,❌,❌,—
LIDER,37.5,❌,❌,❌,❌,26.6,❌,❌,—
DAPGM,38.3,❌,❌,❌,❌,26.6,❌,❌,—
IHEVA,41.2,❌,❌,❌,❌,26.7,❌,❌,—
DOFER,38.4,❌,❌,❌,❌,26.7,❌,❌,—
DITAS,39.1,❌,❌,❌,❌,26.8,❌,❌,—
MEKAG,38.2,❌,❌,❌,❌,26.8,❌,❌,—
LRSHO,38.9,❌,❌,❌,❌,26.9,❌,❌,—
