Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.2,15.9,❌,❌,❌,95.8,✅,—
MERKO,29.3,20.8,❌,✅,❌,-12.1,❌,—
SEKFK,34.5,21.3,❌,❌,❌,88.9,❌,—
BARMA,,23.3,❌,❌,❌,78.7,❌,—
FORMT,35.4,23.4,✅,❌,✅,65.9,❌,—
IHYAY,37.9,25.5,❌,❌,❌,87.7,❌,—
TMSN,38.6,26.9,❌,❌,❌,98.3,✅,—
VAKFN,45.7,27.4,❌,❌,❌,98.2,✅,—
EKIZ,44.4,27.8,❌,❌,❌,95.2,✅,—
VESBE,31.5,28.0,❌,❌,❌,92.6,❌,—
IHLAS,40.0,28.3,✅,✅,✅,86.1,❌,—
TEZOL,40.9,28.4,❌,❌,❌,78.5,❌,—
IMASM,40.6,28.7,❌,❌,❌,15.9,❌,—
MEGAP,39.0,28.9,❌,❌,❌,63.1,❌,—
ZOREN,35.9,29.1,✅,❌,✅,81.7,❌,—
USAK,39.6,29.3,✅,✅,✅,85.2,❌,—
OTTO,36.8,29.4,✅,✅,✅,77.9,❌,—
SURGY,,29.6,❌,❌,❌,31.9,❌,—
SODSN,39.2,30.1,✅,❌,✅,76.6,❌,—
CVKMD,45.5,30.4,❌,❌,❌,95.3,✅,—
COSMO,44.0,30.4,❌,❌,❌,74.3,❌,—
NATEN,38.0,30.5,✅,❌,✅,95.0,❌,—
GENTS,43.8,30.7,❌,❌,❌,94.8,❌,—
IHGZT,43.2,30.7,✅,❌,✅,84.2,❌,—
CANTE,38.9,30.8,✅,✅,✅,22.9,❌,—
OSTIM,41.2,30.9,❌,❌,❌,96.7,✅,—
KZBGY,41.7,31.5,❌,❌,❌,84.4,❌,—
PGSUS,37.9,31.6,❌,❌,❌,92.5,❌,—
OBAMS,,31.7,✅,✅,✅,-366.8,❌,—
ARFYE,,31.9,❌,❌,❌,,❌,—
MEKAG,41.9,31.9,✅,❌,✅,33.0,❌,—
LIDER,43.0,31.9,❌,❌,❌,85.3,❌,—
SEGYO,45.3,32.0,❌,❌,❌,89.7,❌,—
A1CAP,46.4,32.0,✅,❌,✅,91.4,❌,—
VESTL,32.6,32.1,❌,❌,❌,92.5,❌,—
DARDL,36.9,32.2,❌,❌,❌,87.3,❌,—
VRGYO,36.1,32.2,✅,❌,✅,-85.3,❌,—
AVTUR,46.1,32.5,❌,❌,❌,97.2,✅,—
ENSRI,42.3,32.6,✅,✅,✅,-66.9,❌,—
KONTR,34.0,32.8,❌,✅,❌,-54.2,❌,—
RAYSG,39.1,32.8,✅,✅,✅,88.7,❌,—
YESIL,38.0,32.8,❌,✅,❌,73.9,❌,—
UNLU,39.1,32.8,❌,❌,❌,88.3,❌,—
ALVES,,32.9,✅,❌,✅,-18.8,❌,—
KATMR,44.4,32.9,❌,❌,❌,86.6,❌,—
EUREN,37.0,32.9,❌,✅,❌,-7.4,❌,—
KRVGD,46.3,32.9,❌,❌,❌,84.6,❌,—
BMSCH,46.1,33.0,✅,❌,✅,76.9,❌,—
ARCLK,39.8,33.1,❌,❌,❌,95.8,✅,—
TRILC,38.0,33.2,❌,✅,❌,61.2,❌,—
LRSHO,42.4,33.4,❌,❌,❌,85.0,❌,—
YBTAS,38.1,33.4,❌,✅,❌,6.4,❌,—
YYAPI,40.9,33.4,✅,✅,✅,84.4,❌,—
IHLGM,43.8,33.5,✅,❌,✅,96.7,✅,—
QNBTR,47.0,33.5,✅,✅,✅,99.9,✅,🟢
BERA,42.7,33.5,❌,❌,❌,88.5,❌,—
BEGYO,,33.5,✅,✅,✅,40.1,❌,—
AKYHO,41.0,33.6,✅,❌,✅,98.1,✅,—
TUKAS,38.1,33.7,✅,✅,✅,85.1,❌,—
ATAGY,44.5,33.8,❌,❌,❌,92.9,❌,—
ASUZU,42.6,33.9,✅,❌,✅,98.6,✅,—
CONSE,36.3,33.9,❌,❌,❌,90.1,❌,—
DCTTR,,34.0,✅,❌,✅,53.0,❌,—
AKGRT,48.1,34.0,❌,❌,❌,97.4,✅,—
MAKTK,45.6,34.3,✅,❌,✅,97.5,✅,—
PKENT,36.7,34.4,✅,✅,✅,78.5,❌,—
MNDTR,38.6,34.7,❌,❌,❌,98.0,✅,—
EGEEN,38.2,34.7,❌,❌,❌,99.2,✅,—
EMKEL,42.9,34.7,❌,❌,❌,91.3,❌,—
ADESE,44.8,34.8,✅,✅,✅,74.9,❌,—
KOTON,,34.8,✅,❌,✅,,❌,—
ISMEN,47.5,34.9,❌,❌,❌,93.4,❌,—
ZERGY,,34.9,✅,❌,✅,,❌,—
YKSLN,33.7,34.9,❌,❌,❌,92.4,❌,—
ARZUM,37.7,35.1,✅,✅,✅,36.2,❌,—
MOPAS,,35.1,✅,❌,✅,83.3,❌,—
BUCIM,40.9,35.2,✅,✅,✅,98.0,✅,🟢
ISYAT,44.2,35.2,❌,❌,❌,97.2,✅,—
SKBNK,46.3,35.3,✅,❌,✅,94.9,❌,—
MEGMT,49.1,35.3,❌,❌,❌,91.4,❌,—
YONGA,41.4,35.3,❌,❌,❌,-77.9,❌,—
KSTUR,43.2,35.3,❌,❌,❌,53.5,❌,—
FENER,34.6,35.4,✅,✅,✅,7.0,❌,—
OYLUM,44.6,35.6,❌,❌,❌,97.6,✅,—
BULGS,,35.6,❌,❌,❌,81.9,❌,—
ALKA,48.0,35.7,✅,❌,✅,98.3,✅,—
RTALB,46.8,35.7,✅,❌,✅,92.2,❌,—
ERBOS,43.9,35.8,✅,❌,✅,99.2,✅,—
MARTI,37.3,35.8,❌,❌,❌,87.7,❌,—
TUCLK,37.4,35.8,✅,✅,✅,92.8,❌,—
MRGYO,43.0,35.9,✅,✅,✅,89.1,❌,—
PAPIL,43.2,36.0,❌,❌,❌,88.9,❌,—
SNGYO,47.0,36.2,❌,❌,❌,96.5,✅,—
CEMTS,46.1,36.2,✅,❌,✅,97.6,✅,—
CASA,41.7,36.5,❌,❌,❌,-26.5,❌,—
VAKFA,,36.5,✅,❌,✅,,❌,—
SANKO,45.1,36.5,✅,❌,✅,98.4,✅,—
TLMAN,44.4,36.6,✅,❌,✅,97.4,✅,—
YATAS,47.3,36.7,❌,❌,❌,97.9,✅,—
OYYAT,47.5,36.7,✅,❌,✅,99.2,✅,—
CMENT,43.1,36.7,❌,❌,❌,98.3,✅,—
VKING,42.0,36.7,❌,❌,❌,97.7,✅,—
ELITE,44.4,36.9,❌,❌,❌,90.8,❌,—
BRYAT,46.0,36.9,❌,❌,❌,98.6,✅,—
ANGEN,39.6,37.0,✅,❌,✅,62.1,❌,—
ARENA,43.2,37.0,❌,❌,❌,98.0,✅,—
ULAS,45.6,37.0,❌,❌,❌,96.2,✅,—
SERNT,,37.1,❌,❌,❌,,❌,—
KUTPO,47.5,37.3,❌,❌,❌,97.7,✅,—
KLRHO,,37.3,❌,✅,❌,17.6,❌,—
GOKNR,43.3,37.4,✅,❌,✅,84.8,❌,—
ATAKP,41.5,37.5,✅,❌,✅,46.4,❌,—
TSGYO,42.7,37.5,✅,❌,✅,95.0,❌,—
MEDTR,41.7,37.5,✅,❌,✅,76.6,❌,—
LUKSK,47.6,37.8,❌,❌,❌,98.0,✅,—
PAHOL,,37.8,✅,❌,✅,,❌,—
FZLGY,,37.8,❌,❌,❌,43.5,❌,—
KONKA,44.2,37.9,✅,❌,✅,94.7,❌,—
BTCIM,50.8,38.0,✅,❌,✅,94.3,❌,—
SNICA,34.3,38.1,✅,❌,✅,-217.6,❌,—
SILVR,44.5,38.1,❌,❌,❌,99.4,✅,—
CEMAS,46.3,38.1,✅,✅,✅,93.3,❌,—
SMRVA,,38.2,❌,✅,❌,-177.0,❌,—
KLGYO,46.5,38.3,✅,✅,✅,96.2,✅,🟢
LKMNH,46.8,38.3,✅,❌,✅,99.3,✅,—
KENT,36.6,38.3,❌,✅,❌,70.8,❌,—
DITAS,47.5,38.3,❌,❌,❌,89.8,❌,—
SELVA,44.8,38.4,❌,❌,❌,-152.0,❌,—
TEKTU,46.6,38.4,❌,❌,❌,95.4,✅,—
IHEVA,45.6,38.4,❌,✅,❌,99.0,✅,—
ULKER,46.9,38.5,✅,✅,✅,86.1,❌,—
DAPGM,47.1,38.5,❌,❌,❌,84.6,❌,—
GLCVY,48.0,38.5,✅,✅,✅,81.6,❌,—
KARSN,45.5,38.5,❌,❌,❌,99.3,✅,—
DERHL,46.4,38.6,✅,✅,✅,72.1,❌,—
ERCB,35.7,38.6,❌,❌,❌,-26.3,❌,—
IDGYO,45.1,38.6,❌,❌,❌,89.2,❌,—
ZEDUR,45.3,38.7,❌,❌,❌,90.6,❌,—
MIATK,45.1,38.7,❌,❌,❌,63.1,❌,—
VKFYO,48.2,38.8,✅,❌,✅,92.5,❌,—
SUWEN,39.7,38.9,❌,❌,❌,78.5,❌,—
PARSN,43.5,38.9,✅,❌,✅,98.9,✅,—
BURCE,51.8,38.9,✅,❌,✅,97.8,✅,—
ISSEN,40.5,39.0,✅,❌,✅,75.2,❌,—
REEDR,,39.0,✅,❌,✅,-1801.5,❌,—
HLGYO,56.8,39.0,❌,❌,❌,98.6,✅,—
SAFKR,52.4,39.1,❌,❌,❌,95.0,❌,—
ORCAY,36.3,39.1,✅,❌,✅,51.8,❌,—
LYDYE,50.7,39.1,❌,❌,❌,99.7,✅,—
PRKAB,47.8,39.2,❌,❌,❌,94.1,❌,—
BFREN,33.7,39.3,✅,✅,✅,98.9,✅,🟢
NIBAS,48.6,39.3,✅,❌,✅,62.0,❌,—
GRNYO,52.3,39.3,❌,❌,❌,99.6,✅,—
BIENY,33.4,39.3,✅,✅,✅,32.8,❌,—
MMCAS,48.8,39.4,❌,❌,❌,90.8,❌,—
VSNMD,,39.4,❌,✅,❌,-169.7,❌,—
DESA,47.4,39.5,❌,✅,❌,99.2,✅,—
INVEO,44.9,39.5,❌,❌,❌,95.7,✅,—
KRSTL,50.9,39.6,❌,❌,❌,98.6,✅,—
PNSUT,48.2,39.6,✅,❌,✅,95.2,✅,—
HUBVC,48.5,39.7,❌,❌,❌,92.4,❌,—
KIMMR,54.0,39.7,✅,❌,✅,94.6,❌,—
ARTMS,,39.7,❌,❌,❌,47.3,❌,—
TATEN,43.9,39.8,✅,❌,✅,20.0,❌,—
FROTO,47.1,39.8,✅,✅,✅,90.0,❌,—
EKOS,,39.9,✅,❌,✅,42.2,❌,—
SISE,49.7,40.2,❌,❌,❌,94.4,❌,—
HATEK,44.7,40.3,✅,❌,✅,87.1,❌,—
BALSU,,40.3,✅,❌,✅,-437.2,❌,—
PLTUR,46.8,40.3,✅,❌,✅,91.1,❌,—
DZGYO,50.0,40.4,❌,❌,❌,96.1,✅,—
SMART,46.8,40.4,❌,❌,❌,96.3,✅,—
DOFER,43.6,40.4,✅,✅,✅,56.0,❌,—
HEKTS,34.4,40.4,✅,❌,✅,83.6,❌,—
LINK,42.3,40.5,❌,❌,❌,91.7,❌,—
AGROT,36.7,40.5,✅,✅,✅,-187.1,❌,—
POLTK,40.1,40.5,❌,❌,❌,66.4,❌,—
HTTBT,48.5,40.7,❌,❌,❌,87.7,❌,—
SRVGY,42.2,40.7,✅,✅,✅,94.3,❌,—
ENKAI,59.5,40.7,❌,❌,❌,96.2,✅,—
BEYAZ,47.6,40.7,❌,❌,❌,89.4,❌,—
GRTHO,,40.8,❌,❌,❌,73.7,❌,—
HALKB,55.6,40.8,✅,❌,✅,93.9,❌,—
AYCES,47.6,40.9,❌,❌,❌,82.5,❌,—
IZINV,50.0,40.9,✅,❌,✅,93.4,❌,—
AGYO,49.6,40.9,❌,❌,❌,98.1,✅,—
YIGIT,,41.0,❌,❌,❌,26.4,❌,—
MHRGY,,41.1,❌,❌,❌,-58.1,❌,—
VKGYO,54.6,41.1,❌,❌,❌,99.0,✅,—
PENGD,52.3,41.1,❌,❌,❌,96.3,✅,—
MEYSU,,41.1,✅,❌,✅,79.7,❌,—
BRISA,48.0,41.1,❌,❌,❌,98.5,✅,—
AVHOL,46.5,41.2,❌,❌,❌,81.8,❌,—
GWIND,47.1,41.2,✅,❌,✅,62.1,❌,—
ESEN,44.8,41.3,✅,✅,✅,69.1,❌,—
TTKOM,52.9,41.3,❌,❌,❌,94.9,❌,—
BIGCH,,41.4,✅,✅,✅,29.3,❌,—
MNDRS,47.9,41.4,✅,✅,✅,99.3,✅,🟢
ALGYO,48.6,41.4,❌,❌,❌,92.3,❌,—
BLCYT,47.7,41.4,✅,✅,✅,85.1,❌,—
CLEBI,47.8,41.5,✅,✅,✅,98.1,✅,🟢
OTKAR,41.8,41.5,✅,✅,✅,99.4,✅,🟢
OYAYO,53.3,41.6,❌,❌,❌,97.2,✅,—
UMPAS,56.5,41.6,✅,✅,❌,3.7,❌,—
ALKIM,47.3,41.6,✅,❌,✅,97.0,✅,—
KONYA,39.1,41.7,✅,✅,❌,98.4,✅,—
AZTEK,45.4,41.7,❌,❌,❌,82.4,❌,—
BVSAN,50.4,41.7,❌,❌,❌,40.3,❌,—
LMKDC,,41.8,✅,✅,✅,82.1,❌,—
KFEIN,47.6,41.8,❌,❌,❌,92.6,❌,—
MAVI,51.0,41.9,❌,❌,❌,88.7,❌,—
KAPLM,55.6,41.9,❌,❌,❌,98.0,✅,—
MAGEN,55.3,41.9,❌,❌,❌,96.9,✅,—
BIZIM,44.5,42.0,✅,✅,✅,97.2,✅,🟢
BRKVY,50.3,42.0,✅,❌,✅,71.9,❌,—
KAYSE,43.3,42.0,✅,✅,✅,89.2,❌,—
ISCTR,50.2,42.0,✅,❌,✅,92.4,❌,—
MGROS,55.6,42.1,✅,❌,✅,99.1,✅,—
PAMEL,43.3,42.1,❌,❌,❌,94.2,❌,—
KUYAS,59.1,42.2,❌,❌,❌,99.5,✅,—
BORLS,,42.2,✅,❌,✅,-214.3,❌,—
KLKIM,48.4,42.3,✅,✅,✅,96.1,✅,🟢
ALCAR,42.1,42.3,❌,❌,❌,99.5,✅,—
YAPRK,43.0,42.3,❌,❌,❌,66.5,❌,—
RUZYE,49.3,42.4,✅,✅,✅,74.4,❌,—
GLRYH,46.0,42.4,✅,✅,✅,91.9,❌,—
TUREX,45.8,42.5,✅,✅,✅,3.7,❌,—
CMBTN,40.6,42.5,❌,❌,❌,97.6,✅,—
MZHLD,43.4,42.5,✅,✅,✅,97.8,✅,🟢
ALCTL,50.0,42.7,❌,❌,❌,98.8,✅,—
GZNMI,43.2,42.7,✅,✅,✅,94.7,❌,—
CIMSA,53.1,42.8,✅,❌,✅,98.4,✅,—
VERTU,48.1,42.8,✅,❌,✅,93.3,❌,—
LILAK,,42.9,✅,❌,✅,54.6,❌,—
SASA,40.2,43.0,❌,❌,❌,95.3,✅,—
TERA,54.7,43.0,❌,✅,❌,94.3,❌,—
EUHOL,50.3,43.0,❌,❌,❌,98.1,✅,—
YYLGD,47.8,43.1,✅,❌,✅,52.6,❌,—
ORMA,48.8,43.2,❌,❌,❌,90.3,❌,—
SAMAT,44.1,43.2,✅,❌,✅,97.7,✅,—
FLAP,50.8,43.2,❌,❌,❌,86.2,❌,—
ATLAS,51.6,43.2,✅,❌,✅,98.2,✅,—
SOKE,50.2,43.3,❌,❌,❌,90.6,❌,—
AVPGY,,43.3,✅,❌,✅,79.9,❌,—
DENGE,45.0,43.3,✅,✅,✅,87.0,❌,—
KLNMA,43.2,43.3,❌,❌,❌,96.3,✅,—
SUMAS,48.0,43.4,✅,❌,✅,89.7,❌,—
A1YEN,49.7,43.4,❌,❌,❌,87.3,❌,—
CRDFA,63.3,43.5,❌,❌,❌,95.9,✅,—
IZFAS,60.3,43.7,❌,❌,❌,97.5,✅,—
GLBMD,50.7,43.8,❌,❌,❌,94.3,❌,—
