Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DUNYH,34.1,❌,❌,❌,✅,2.2,❌,❌,—
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
FORMT,31.4,❌,❌,❌,❌,14.5,❌,❌,—
LYDHO,35.4,❌,❌,❌,❌,16.3,❌,❌,—
USAK,35.6,❌,❌,❌,❌,17.1,❌,❌,—
BSOKE,39.1,❌,❌,❌,❌,18.2,❌,❌,—
BTCIM,36.0,❌,❌,❌,❌,18.3,❌,❌,—
LYDYE,37.2,❌,❌,❌,❌,18.5,❌,❌,—
OTTO,32.3,❌,❌,❌,❌,19.6,❌,❌,—
MERKO,28.9,❌,❌,❌,❌,19.7,❌,✅,—
MEDTR,34.5,❌,❌,❌,❌,21.0,❌,❌,—
A1CAP,36.5,❌,❌,❌,❌,21.1,❌,❌,—
DARDL,33.7,❌,❌,❌,❌,21.2,❌,❌,—
VRGYO,31.0,❌,❌,❌,❌,21.2,❌,❌,—
IMASM,36.0,❌,❌,❌,❌,21.4,❌,❌,—
SEKFK,33.7,❌,❌,❌,✅,21.8,✅,❌,—
RTALB,38.9,❌,❌,❌,❌,21.8,❌,❌,—
MEGAP,36.6,❌,❌,❌,❌,21.9,❌,❌,—
EGEPO,42.3,❌,❌,❌,❌,21.9,❌,❌,—
SODSN,35.6,❌,❌,❌,❌,21.9,❌,❌,—
RAYSG,35.5,❌,❌,❌,❌,22.0,❌,❌,—
YBTAS,35.5,❌,❌,❌,❌,22.1,❌,❌,—
IHYAY,36.2,❌,❌,❌,❌,22.3,❌,❌,—
PAMEL,35.7,❌,❌,❌,❌,22.5,❌,❌,—
VAKFN,41.2,❌,❌,❌,❌,22.5,❌,❌,—
KRTEK,31.6,✅,❌,✅,❌,22.8,✅,✅,—
YYAPI,37.9,❌,❌,❌,❌,22.9,❌,❌,—
AKGRT,42.2,❌,❌,❌,❌,23.1,❌,❌,—
YESIL,35.0,❌,❌,❌,❌,23.1,❌,❌,—
AGROT,29.9,❌,❌,❌,❌,23.2,❌,❌,—
SEGYO,40.4,❌,❌,❌,❌,23.2,✅,❌,—
EKIZ,39.9,❌,❌,❌,❌,23.2,❌,❌,—
AKYHO,36.2,❌,❌,❌,❌,23.3,❌,❌,—
SKYLP,38.2,❌,❌,❌,✅,23.3,❌,❌,—
IZINV,35.5,❌,❌,❌,❌,23.6,❌,❌,—
PKENT,32.0,❌,❌,❌,❌,23.6,❌,❌,—
ONCSM,38.0,❌,❌,❌,❌,23.7,❌,❌,—
TEZOL,37.3,❌,❌,❌,❌,23.7,❌,❌,—
VERTU,40.2,❌,❌,❌,❌,23.9,❌,❌,—
SAFKR,39.2,❌,❌,❌,❌,24.0,❌,❌,—
YONGA,35.6,❌,❌,❌,❌,24.1,❌,❌,—
KZBGY,37.3,❌,❌,❌,❌,24.2,❌,❌,—
KAPLM,41.3,❌,❌,❌,❌,24.3,❌,❌,—
NATEN,33.5,❌,❌,❌,❌,24.3,❌,❌,—
TMSN,35.0,❌,❌,❌,❌,24.7,❌,❌,—
ISSEN,34.6,❌,❌,❌,❌,24.7,❌,❌,—
UFUK,40.2,❌,❌,❌,❌,24.7,❌,❌,—
HDFGS,40.4,❌,❌,❌,❌,24.8,❌,❌,—
VKING,37.2,❌,❌,❌,❌,24.8,❌,❌,—
OYLUM,39.7,❌,❌,❌,❌,24.8,❌,❌,—
ANGEN,32.7,❌,❌,❌,❌,24.9,❌,❌,—
ESCAR,40.0,❌,❌,❌,❌,25.0,❌,❌,—
KATMR,38.4,❌,❌,❌,❌,25.0,❌,❌,—
BAYRK,40.0,❌,❌,❌,❌,25.1,❌,❌,—
ERBOS,37.3,❌,❌,❌,❌,25.1,❌,❌,—
